::ffff:66.249.79.174 - - [02/Sep/2022:00:04:54 +0000] "GET /contact?s=1&ss=4 HTTP/1.1" 200 9997 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.79 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:128.14.209.154 - - [02/Sep/2022:00:05:21 +0000] "GET / HTTP/1.1" 200 57721 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.117 Safari/537.36"
::ffff:107.77.212.216 - - [02/Sep/2022:00:11:05 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 15_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/40.2  Mobile/15E148 Safari/605.1.15"
::ffff:107.77.212.216 - - [02/Sep/2022:00:11:05 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 15_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/40.2  Mobile/15E148 Safari/605.1.15"
::ffff:107.77.212.216 - - [02/Sep/2022:00:11:05 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 15_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/40.2  Mobile/15E148 Safari/605.1.15"
::ffff:207.46.13.168 - - [02/Sep/2022:00:15:35 +0000] "GET /images/schools/orindakaratedomap.jpg HTTP/1.1" 200 34167 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:156.236.66.243 - - [02/Sep/2022:00:15:52 +0000] "GET /wp-login.php HTTP/1.1" 404 151 "-" "Apache-HttpClient/4.5.2 (Java/1.8.0_161)"
::ffff:156.236.66.243 - - [02/Sep/2022:00:16:11 +0000] "GET /?author=1 HTTP/1.1" 200 57721 "-" "Apache-HttpClient/4.5.2 (Java/1.8.0_161)"
::ffff:156.236.66.243 - - [02/Sep/2022:00:16:12 +0000] "GET /?author=2 HTTP/1.1" 200 57721 "-" "Apache-HttpClient/4.5.2 (Java/1.8.0_161)"
::ffff:156.236.66.243 - - [02/Sep/2022:00:16:15 +0000] "GET /?author=3 HTTP/1.1" 200 57721 "-" "Apache-HttpClient/4.5.2 (Java/1.8.0_161)"
::ffff:156.236.66.243 - - [02/Sep/2022:00:16:18 +0000] "GET /?author=4 HTTP/1.1" 200 57721 "-" "Apache-HttpClient/4.5.2 (Java/1.8.0_161)"
::ffff:156.236.66.243 - - [02/Sep/2022:00:16:20 +0000] "GET /?author=5 HTTP/1.1" 200 57721 "-" "Apache-HttpClient/4.5.2 (Java/1.8.0_161)"
::ffff:156.236.66.243 - - [02/Sep/2022:00:16:21 +0000] "GET /?author=6 HTTP/1.1" 200 57721 "-" "Apache-HttpClient/4.5.2 (Java/1.8.0_161)"
::ffff:156.236.66.243 - - [02/Sep/2022:00:16:23 +0000] "GET /?author=7 HTTP/1.1" 200 57721 "-" "Apache-HttpClient/4.5.2 (Java/1.8.0_161)"
::ffff:156.236.66.243 - - [02/Sep/2022:00:16:24 +0000] "GET /?author=8 HTTP/1.1" 200 57721 "-" "Apache-HttpClient/4.5.2 (Java/1.8.0_161)"
::ffff:156.236.66.243 - - [02/Sep/2022:00:16:26 +0000] "GET /?author=9 HTTP/1.1" 200 57721 "-" "Apache-HttpClient/4.5.2 (Java/1.8.0_161)"
::ffff:156.236.66.243 - - [02/Sep/2022:00:16:27 +0000] "GET /?author=10 HTTP/1.1" 200 57721 "-" "Apache-HttpClient/4.5.2 (Java/1.8.0_161)"
::ffff:156.236.66.243 - - [02/Sep/2022:00:16:29 +0000] "GET /?author=11 HTTP/1.1" 200 57721 "-" "Apache-HttpClient/4.5.2 (Java/1.8.0_161)"
::ffff:156.236.66.243 - - [02/Sep/2022:00:16:31 +0000] "GET /?author=12 HTTP/1.1" 200 57721 "-" "Apache-HttpClient/4.5.2 (Java/1.8.0_161)"
::ffff:156.236.66.243 - - [02/Sep/2022:00:16:33 +0000] "GET /?author=13 HTTP/1.1" 200 57721 "-" "Apache-HttpClient/4.5.2 (Java/1.8.0_161)"
::ffff:156.236.66.243 - - [02/Sep/2022:00:16:34 +0000] "GET /?author=14 HTTP/1.1" 200 57721 "-" "Apache-HttpClient/4.5.2 (Java/1.8.0_161)"
::ffff:156.236.66.243 - - [02/Sep/2022:00:16:36 +0000] "GET /?author=15 HTTP/1.1" 200 57721 "-" "Apache-HttpClient/4.5.2 (Java/1.8.0_161)"
::ffff:156.236.66.243 - - [02/Sep/2022:00:16:37 +0000] "GET /?author=16 HTTP/1.1" 200 57721 "-" "Apache-HttpClient/4.5.2 (Java/1.8.0_161)"
::ffff:156.236.66.243 - - [02/Sep/2022:00:16:39 +0000] "GET /?author=17 HTTP/1.1" 200 57721 "-" "Apache-HttpClient/4.5.2 (Java/1.8.0_161)"
::ffff:156.236.66.243 - - [02/Sep/2022:00:16:40 +0000] "GET /?author=18 HTTP/1.1" 200 57721 "-" "Apache-HttpClient/4.5.2 (Java/1.8.0_161)"
