::ffff:205.210.31.185 - - [13/Nov/2022:00:03:29 +0000] "GET / HTTP/1.1" 200 58140 "-" "Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com"
::ffff:139.59.12.132 - - [13/Nov/2022:00:12:25 +0000] "GET /.svn/wc.db HTTP/1.1" 404 149 "-" "Mozilla/5.0 (Windows NT 10.0; rv:91.0) Gecko/20100101 Firefox/91.0"
::ffff:40.77.167.14 - - [13/Nov/2022:00:23:58 +0000] "GET /overview.html HTTP/1.1" 404 152 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36"
::ffff:128.14.133.58 - - [13/Nov/2022:00:32:15 +0000] "GET / HTTP/1.1" 200 58140 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
::ffff:94.23.207.108 - - [13/Nov/2022:00:33:24 +0000] "GET /wp-includes/css/buttons.css HTTP/1.1" 404 166 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
::ffff:94.23.207.108 - - [13/Nov/2022:00:33:25 +0000] "GET /.env HTTP/1.1" 404 143 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
::ffff:94.23.207.108 - - [13/Nov/2022:00:33:25 +0000] "GET / HTTP/1.1" 200 58140 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
::ffff:94.23.207.108 - - [13/Nov/2022:00:33:26 +0000] "GET / HTTP/1.1" 200 58140 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
::ffff:104.2.28.54 - - [13/Nov/2022:00:58:29 +0000] "GET / HTTP/1.1" 200 58140 "https://www.google.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:106.0) Gecko/20100101 Firefox/106.0"
::ffff:104.2.28.54 - - [13/Nov/2022:00:58:29 +0000] "GET /css/wadokikai.css HTTP/1.1" 200 4337 "http://wadokikai.org/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:106.0) Gecko/20100101 Firefox/106.0"
::ffff:104.2.28.54 - - [13/Nov/2022:00:58:29 +0000] "GET /js/common.js HTTP/1.1" 200 2255 "http://wadokikai.org/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:106.0) Gecko/20100101 Firefox/106.0"
::ffff:104.2.28.54 - - [13/Nov/2022:00:58:29 +0000] "GET /images/schools/alamedakaratedomap.jpg HTTP/1.1" 200 38311 "http://wadokikai.org/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:106.0) Gecko/20100101 Firefox/106.0"
::ffff:104.2.28.54 - - [13/Nov/2022:00:58:29 +0000] "GET /images/schools/orindakaratedomap.jpg HTTP/1.1" 200 34167 "http://wadokikai.org/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:106.0) Gecko/20100101 Firefox/106.0"
::ffff:104.2.28.54 - - [13/Nov/2022:00:58:29 +0000] "GET /images/schools/marinkaratedomap.jpg HTTP/1.1" 200 32400 "http://wadokikai.org/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:106.0) Gecko/20100101 Firefox/106.0"
::ffff:104.2.28.54 - - [13/Nov/2022:00:58:29 +0000] "GET /images/schools/manzanitakaratedomap.jpg HTTP/1.1" 200 55402 "http://wadokikai.org/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:106.0) Gecko/20100101 Firefox/106.0"
::ffff:104.2.28.54 - - [13/Nov/2022:00:58:29 +0000] "GET /images/schools/earhartkaratedomap.jpg HTTP/1.1" 200 41366 "http://wadokikai.org/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:106.0) Gecko/20100101 Firefox/106.0"
::ffff:104.2.28.54 - - [13/Nov/2022:00:58:29 +0000] "GET /images/schools/harborbaykaratedomap.jpg HTTP/1.1" 200 37245 "http://wadokikai.org/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:106.0) Gecko/20100101 Firefox/106.0"
::ffff:104.2.28.54 - - [13/Nov/2022:00:58:29 +0000] "GET /images/promotions/AFSPrelimSchedule.pdf HTTP/1.1" 200 57396 "http://wadokikai.org/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:106.0) Gecko/20100101 Firefox/106.0"
::ffff:104.2.28.54 - - [13/Nov/2022:00:58:29 +0000] "GET /images/wkkpatch22_med.png HTTP/1.1" 200 32301 "http://wadokikai.org/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:106.0) Gecko/20100101 Firefox/106.0"
::ffff:104.2.28.54 - - [13/Nov/2022:00:58:29 +0000] "GET /images/schools/dcakaratedomap.jpg HTTP/1.1" 200 35262 "http://wadokikai.org/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:106.0) Gecko/20100101 Firefox/106.0"
::ffff:104.2.28.54 - - [13/Nov/2022:00:58:29 +0000] "GET /images/schools/corpuzkaratedomap.jpg HTTP/1.1" 200 36421 "http://wadokikai.org/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:106.0) Gecko/20100101 Firefox/106.0"
::ffff:104.2.28.54 - - [13/Nov/2022:00:58:29 +0000] "GET /images/schools/nunleykaratedomap.jpg HTTP/1.1" 200 42667 "http://wadokikai.org/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:106.0) Gecko/20100101 Firefox/106.0"
::ffff:104.2.28.54 - - [13/Nov/2022:00:58:29 +0000] "GET /images/schools/martinezkaratedomap.jpg HTTP/1.1" 200 37724 "http://wadokikai.org/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:106.0) Gecko/20100101 Firefox/106.0"
::ffff:104.2.28.54 - - [13/Nov/2022:00:58:29 +0000] "GET /images/dragon-trans.png HTTP/1.1" 200 85661 "http://wadokikai.org/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:106.0) Gecko/20100101 Firefox/106.0"
::ffff:104.2.28.54 - - [13/Nov/2022:00:58:29 +0000] "GET /images/favicon.ico HTTP/1.1" 200 3638 "http://wadokikai.org/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:106.0) Gecko/20100101 Firefox/106.0"
::ffff:104.2.28.54 - - [13/Nov/2022:00:58:33 +0000] "GET /images/tiger.bmp HTTP/1.1" 200 311274 "http://wadokikai.org/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:106.0) Gecko/20100101 Firefox/106.0"
::ffff:104.2.28.54 - - [13/Nov/2022:00:58:36 +0000] "GET /images/wadokikai%20kanji.jpg HTTP/1.1" 200 35066 "http://wadokikai.org/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:106.0) Gecko/20100101 Firefox/106.0"
::ffff:188.213.26.125 - - [13/Nov/2022:01:17:01 +0000] "GET /.svn/wc.db HTTP/1.1" 404 149 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/101.0.4951.44 Mobile/15E148 Safari/604.1"
::ffff:194.55.186.126 - - [13/Nov/2022:01:17:48 +0000] "GET /explore HTTP/1.1" 404 146 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.32 (KHTML, like Gecko) Chromium/25.0.1349.2 Chrome/25.0.1349.2 Safari/537.32 Epiphany/3.8.2"
::ffff:45.79.171.66 - - [13/Nov/2022:01:18:07 +0000] "GET /service.php?token=1819&action=11 HTTP/1.0" 404 150 "-" "-"
::ffff:157.55.39.153 - - [13/Nov/2022:01:21:47 +0000] "GET /images/schools/alamedakaratedomap.jpg HTTP/1.1" 200 38311 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:68.183.151.217 - - [13/Nov/2022:01:27:46 +0000] "GET / HTTP/1.1" 200 58140 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:51.222.253.5 - - [13/Nov/2022:01:28:39 +0000] "GET /robots.txt HTTP/1.1" 404 149 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
::ffff:51.222.253.4 - - [13/Nov/2022:01:28:40 +0000] "GET / HTTP/1.1" 200 58140 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
::ffff:135.125.246.189 - - [13/Nov/2022:01:35:23 +0000] "POST / HTTP/1.1" 404 140 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::ffff:135.125.246.189 - - [13/Nov/2022:01:35:23 +0000] "GET /.env HTTP/1.1" 404 143 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::ffff:192.241.206.162 - - [13/Nov/2022:01:36:44 +0000] "GET / HTTP/1.1" 200 58140 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:95.163.255.159 - - [13/Nov/2022:01:45:16 +0000] "GET /robots.txt HTTP/1.0" 404 149 "-" "Mozilla/5.0 (compatible; Linux x86_64; Mail.RU_Bot/2.0; +https://help.mail.ru/webmaster/indexing/robots)"
::ffff:95.163.255.187 - - [13/Nov/2022:01:45:18 +0000] "GET /images/tm.jpg HTTP/1.1" 200 25020 "-" "Mozilla/5.0 (compatible; Linux x86_64; Mail.RU_Bot/2.0; +https://help.mail.ru/webmaster/indexing/robots)"
::ffff:67.160.201.88 - - [13/Nov/2022:01:57:22 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "-" "Client/20303 CFNetwork/1335.0.3 Darwin/21.6.0"
::ffff:67.160.201.88 - - [13/Nov/2022:01:57:23 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "-" "Client/20303 CFNetwork/1335.0.3 Darwin/21.6.0"
::ffff:94.102.51.9 - - [13/Nov/2022:02:04:46 +0000] "GET / HTTP/1.1" 200 58140 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36"
::ffff:20.219.2.211 - - [13/Nov/2022:02:15:27 +0000] "GET /_ignition/execute-solution HTTP/1.1" 404 165 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4859.172 Safari/537.36"
